City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
219,Kodiak,US,2020-08-26 19:47:40,57.79,-152.41,55.4,71,90,3.24
220,Harper,LR,2020-08-26 19:47:40,4.38,-7.72,76.23,81,50,7.72
221,Taoudenni,ML,2020-08-26 19:47:40,22.68,-3.98,105.91,11,77,6.44
222,Suntar,RU,2020-08-26 19:47:40,62.14,117.63,39.88,69,0,2.19
223,Sao Joao Da Barra,BR,2020-08-26 19:47:41,-21.64,-41.05,75.2,60,75,18.34
224,Seoul,KR,2020-08-26 19:46:53,37.57,126.98,82.4,74,90,12.75
225,Abha,SA,2020-08-26 19:47:41,18.22,42.51,69.8,94,100,4.7
226,Uetendorf,CH,2020-08-26 19:47:41,46.77,7.57,66.2,55,100,1.12
227,Zyryanka,RU,2020-08-26 19:45:16,65.75,150.85,42.46,91,100,6.67
228,Luderitz,NA,2020-08-26 19:47:41,-26.65,15.16,57.34,77,0,12.88
229,Nong Khae,TH,2020-08-26 19:47:41,14.34,100.87,82.99,77,93,2.98
230,Nome,US,2020-08-26 19:47:41,64.5,-165.41,55.99,76,75,5.82
231,Santa Rosalia,MX,2020-08-26 19:47:42,27.32,-112.28,89.1,60,0,8.43
232,Coquimbo,CL,2020-08-26 19:47:42,-29.95,-71.34,60.8,63,20,11.41
233,Acarau,BR,2020-08-26 19:47:42,-2.89,-40.12,81.36,69,0,17.13
234,Sovetskiy,RU,2020-08-26 19:47:42,61.36,63.58,52.14,96,2,4.34
235,Blagoyevo,RU,2020-08-26 19:47:42,63.37,47.92,60.08,93,100,12.75
236,Sao Felix Do Xingu,BR,2020-08-26 19:47:42,-6.64,-51.99,92.75,31,92,1.9
237,Port Hardy,CA,2020-08-26 19:47:42,50.7,-127.42,57.2,87,75,4.7
238,Nishihara,JP,2020-08-26 19:47:42,26.18,127.76,82.4,88,40,10.29
239,Kajaani,FI,2020-08-26 19:47:42,64.23,27.73,50.0,87,90,3.36
240,Katsuura,JP,2020-08-26 19:47:43,35.13,140.3,82.4,94,20,4.7
241,Fort William,GB,2020-08-26 19:47:43,56.82,-5.11,50.0,94,18,1.48
242,Shingu,JP,2020-08-26 19:47:43,33.73,135.98,75.45,83,0,5.3
243,Severo-Kurilsk,RU,2020-08-26 19:47:43,50.68,156.12,53.33,89,94,14.56
244,Thompson,CA,2020-08-26 19:47:02,55.74,-97.86,55.4,82,90,13.87
